Id,Title,Category,Diagram,Interaction,Priority,State,Changed By,Description,Justification,Last Modified
11,Spoofing the apache-tomcat-9.0.12 Process,Spoofing,,HTTP,High,Not Started,,apache-tomcat-9.0.12 may be spoofed by an attacker and this may lead to unauthorized access to keycloak. Consider using a standard authentication mechanism to identify the source process.,,Generated
12,Spoofing the keycloak Process,Spoofing,,HTTP,High,Not Started,,keycloak may be spoofed by an attacker and this may lead to information disclosure by apache-tomcat-9.0.12. Consider using a standard authentication mechanism to identify the destination process.,,Generated
13,Potential Lack of Input Validation for keycloak,Tampering,,HTTP,High,Not Started,,Data flowing across HTTP may be tampered with by an attacker. This may lead to a denial of service attack against keycloak or an elevation of privilege attack against keycloak or an information disclosure by keycloak. Failure to verify that input is as expected is a root cause of a very large number of exploitable issues. Consider all paths and the way they handle data. Verify that all input is verified for correctness using an approved list input validation approach.,,Generated
14,apache-tomcat-9.0.12 Process Memory Tampered,Tampering,,HTTP,High,Not Started,,"If apache-tomcat-9.0.12 is given access to memory, such as shared memory or pointers, or is given the ability to control what keycloak executes (for example, passing back a function pointer.), then apache-tomcat-9.0.12 can tamper with keycloak. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
15,Potential Data Repudiation by keycloak,Repudiation,,HTTP,High,Not Started,,"keycloak claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
16,Data Flow Sniffing,Information Disclosure,,HTTP,High,Not Started,,"Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
17,Potential Process Crash or Stop for keycloak,Denial Of Service,,HTTP,High,Not Started,,"keycloak crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
18,Data Flow HTTP Is Potentially Interrupted,Denial Of Service,,HTTP,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
19,Elevation Using Impersonation,Elevation Of Privilege,,HTTP,High,Not Started,,keycloak may be able to impersonate the context of apache-tomcat-9.0.12 in order to gain additional privilege.,,Generated
20,keycloak May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,,HTTP,High,Not Started,,apache-tomcat-9.0.12 may be able to remotely execute code for keycloak.,,Generated
21,Elevation by Changing the Execution Flow in keycloak,Elevation Of Privilege,,HTTP,High,Not Started,,An attacker may pass data into keycloak in order to change the flow of program execution within keycloak to the attacker's choosing.,,Generated
32,Elevation by Changing the Execution Flow in Vault,Elevation Of Privilege,,HTTP,High,Not Started,,An attacker may pass data into Vault in order to change the flow of program execution within Vault to the attacker's choosing.,,Generated
31,Vault May be Subject to Elevation of Privilege Using Remote Code Execution,Elevation Of Privilege,,HTTP,High,Not Started,,rentapp-service may be able to remotely execute code for Vault.,,Generated
30,Elevation Using Impersonation,Elevation Of Privilege,,HTTP,High,Not Started,,Vault may be able to impersonate the context of rentapp-service in order to gain additional privilege.,,Generated
29,Data Flow HTTP Is Potentially Interrupted,Denial Of Service,,HTTP,High,Not Started,,An external agent interrupts data flowing across a trust boundary in either direction.,,Generated
28,Potential Process Crash or Stop for Vault,Denial Of Service,,HTTP,High,Not Started,,"Vault crashes, halts, stops or runs slowly; in all cases violating an availability metric.",,Generated
27,Data Flow Sniffing,Information Disclosure,,HTTP,High,Not Started,,"Data flowing across HTTP may be sniffed by an attacker. Depending on what type of data an attacker can read, it may be used to attack other parts of the system or simply be a disclosure of information leading to compliance violations. Consider encrypting the data flow.",,Generated
26,Potential Data Repudiation by Vault,Repudiation,,HTTP,High,Not Started,,"Vault claims that it did not receive data from a source outside the trust boundary. Consider using logging or auditing to record the source, time, and summary of the received data.",,Generated
25,rentapp-service Process Memory Tampered,Tampering,,HTTP,High,Not Started,,"If rentapp-service is given access to memory, such as shared memory or pointers, or is given the ability to control what Vault executes (for example, passing back a function pointer.), then rentapp-service can tamper with Vault. Consider if the function could work with less access to memory, such as passing data rather than pointers. Copy in data provided, and then validate it.",,Generated
